dependency,depmap_column,N,beta,se,ci_low,ci_high,p,N_adjusted,beta_adjusted,se_adjusted,ci_low_adjusted,ci_high_adjusted,p_adjusted,fdr,fdr_adjusted,stronger_dependency_high_signature,annotation
TSN,TSN (7247),25,-0.045670331679230486,0.045792502674157985,-0.14039934083626165,0.0490586774778007,0.3289810458266075,25,-0.007172601508752986,0.046103560026617425,-0.10278553298245097,0.088440329964945,0.8777860009045702,0.9996683886512429,0.9961651794429218,True,
MACROD2,MACROD2 (140733),25,0.04094729922473489,0.04381377863941569,-0.04968840739890758,0.13158300584837734,0.3597159948954075,25,0.006969787120784006,0.04480423884082492,-0.08594851713914178,0.09988809138070981,0.8777976731274837,0.9996683886512429,0.9961651794429218,False,
IPO5,IPO5 (3843),25,-0.0015384763177693664,0.06332772289090191,-0.1325418522265417,0.12946489959100294,0.9808277394813083,25,0.010858880775459715,0.06986747482892618,-0.13403739359471195,0.15575515514563137,0.8779065518306308,0.9996683886512429,0.9961651794429218,False,
PLTP,PLTP (5360),25,-0.0009738338067805041,0.053864366214887945,-0.11240076490760671,0.11045309729404569,0.9857314592815885,25,0.009236668249484017,0.05944462625953617,-0.11404394118178782,0.13251727768075586,0.8779364531364817,0.9996683886512429,0.9961651794429218,False,
KDM5B,KDM5B (10765),25,0.024258129660374942,0.06929623703395932,-0.11909205845332677,0.16760831777407664,0.7294759730121956,25,-0.01153155695015499,0.07423558153024966,-0.16548673016593246,0.1424236162656225,0.8779718191151042,0.9996683886512429,0.9961651794429218,True,
ADCYAP1R1,ADCYAP1R1 (117),25,-0.000666573715861928,0.04912834000550478,-0.1022962881555036,0.10096314072377974,0.9892916355455074,25,-0.008430434147122379,0.05429218772589827,-0.12102554006945172,0.10416467177520695,0.878017292457185,0.9996683886512429,0.9961651794429218,True,
ESYT1,ESYT1 (23344),25,-0.00102923056719932,0.04025186055190464,-0.08429654823142282,0.08223808709702418,0.9798210627344799,25,-0.006910050936027796,0.04450282872207229,-0.09920326886827877,0.08538316699622317,0.8780225749472623,0.9996683886512429,0.9961651794429218,True,
UBR5,UBR5 (51366),25,-0.02654213780151252,0.14161324353429142,-0.3194914517748495,0.2664071761718244,0.8529695111695288,25,-0.02437224531147753,0.15698010260078393,-0.3499290522920523,0.30118456166909724,0.8780344668186214,0.9996683886512429,0.9961651794429218,True,
NYAP1,NYAP1 (222950),25,-0.015769999804158084,0.04736787116703168,-0.1137579069831868,0.08221790737487064,0.7422057488738224,25,0.007894514435763266,0.050859560017101624,-0.09758175732915164,0.11337078620067817,0.8780617854781098,0.9996683886512429,0.9961651794429218,False,
WDR17,WDR17 (116966),25,0.010085600775951928,0.03150760823590645,-0.05509285278735758,0.07526405433926144,0.7517819830963005,25,0.005406242725671635,0.0348320155500876,-0.06683093622446888,0.07764342167581216,0.8780717776262119,0.9996683886512429,0.9961651794429218,False,
KCNE5,KCNE5 (23630),25,0.00039196432100873415,0.046286480113575876,-0.09535891502544959,0.09614284366746705,0.9933164389745399,25,-0.00792700478512281,0.05110486544400616,-0.11391200886830573,0.0980579992980601,0.878146941286892,0.9996683886512429,0.9961651794429218,True,
PPP1CB,PPP1CB (5500),25,-0.02817381256475858,0.1638343731941605,-0.36709103552109196,0.31074341039157477,0.8649690147872667,25,-0.02816841445311253,0.18161779443979667,-0.4048206669939344,0.34848383808770933,0.8781588676170542,0.9996683886512429,0.9961651794429218,True,
AP3D1,AP3D1 (8943),25,0.0008249541729156843,0.06783419726761122,-0.1395007742513948,0.14115068259722613,0.9904017752216931,25,0.011625699969481923,0.07496067515389361,-0.14383322538407967,0.16708462532304352,0.8781639819419065,0.9996683886512429,0.9961651794429218,False,
NXPH1,NXPH1 (30010),25,-0.006756180330740463,0.041129824327049466,-0.09183970444008954,0.07832734377860862,0.8709577693493559,25,-0.007070574526383358,0.04559393583087098,-0.10162661010577054,0.08748546105300381,0.8781745531018815,0.9996683886512429,0.9961651794429218,True,
PGAM5,PGAM5 (192111),25,-0.005418480233806763,0.0754171239481732,-0.16143068764511131,0.1505937271774978,0.9433449319035867,25,0.0128659926309493,0.0829921390894538,-0.15924916947441298,0.18498115473631155,0.8782138472181374,0.9996683886512429,0.9961651794429218,False,
FAM120C,FAM120C (54954),25,-0.02788825433253124,0.0456674798427951,-0.12235863405798746,0.06658212539292498,0.5473988013672333,25,-0.007653507084489752,0.04937756790200639,-0.11005631531506255,0.09474930114608304,0.8782348536013509,0.9996683886512429,0.9961651794429218,True,
SUN2,SUN2 (25777),25,-0.02823427125723585,0.0471659237213296,-0.1258044183158083,0.06933587580133659,0.5552793302036023,25,0.007500945880988318,0.04842397447354294,-0.09292423062056387,0.10792612238254051,0.8783113438544674,0.9996683886512429,0.9961651794429218,False,
ZMYND11,ZMYND11 (10771),25,-0.02237312596043531,0.06347519263300322,-0.15368156627351204,0.10893531435264142,0.7276949368447105,25,-0.010852912689600312,0.07007733169362504,-0.1561844035595857,0.13447857818038508,0.8783354734934542,0.9996683886512429,0.9961651794429218,True,
GSX2,GSX2 (170825),25,-0.010558233008321774,0.07637442110083262,-0.16855076045990774,0.14743429444326417,0.8912515475032792,25,-0.013109764730652201,0.08465278196762668,-0.1886688893764638,0.1624493599151594,0.8783396653959987,0.9996683886512429,0.9961651794429218,True,
BBS4,BBS4 (585),25,-0.012623058416209679,0.03634995271703109,-0.08781866474266833,0.06257254791024897,0.7315499821812104,25,-0.006215555437540112,0.04014011943596962,-0.08946106807824801,0.07702995720316778,0.87835421546206,0.9996683886512429,0.9961651794429218,True,
ZNF703,ZNF703 (80139),25,-0.0008913613862953415,0.044320381314722206,-0.09257505548966927,0.0907923327170786,0.984127668250941,25,-0.007584048459418275,0.048992124065959874,-0.1091874950992246,0.09401939818038804,0.8783893352804779,0.9996683886512429,0.9961651794429218,True,
PLA2G12A,PLA2G12A (81579),25,-0.04433850131721518,0.06199136458976428,-0.17257740945609248,0.08390040682166214,0.4816608063501647,25,-0.010216938965602133,0.06609009322299263,-0.14727940335603218,0.1268455254248279,0.8785531736296497,0.9996683886512429,0.9961651794429218,True,
TADA1,TADA1 (117143),25,0.10466630658139839,0.16007550857581784,-0.22647511247566557,0.4358077256384624,0.5196891726339825,25,0.02660639229181982,0.17214287140283482,-0.3303960725421835,0.38360885712582315,0.8785774333832763,0.9996683886512429,0.9961651794429218,False,
TNFRSF1A,TNFRSF1A (7132),25,0.014209503485237097,0.05341507200259412,-0.09628799172401026,0.12470699869448446,0.7925935969862543,25,-0.008934235937728815,0.057819204752077816,-0.12884392748069082,0.1109754556052332,0.8786083847843846,0.9996683886512429,0.9961651794429218,True,
MAT2A,MAT2A (4144),25,-0.07941962521668729,0.16397143927873645,-0.41862039097200904,0.2597811405386345,0.6327176130556136,25,-0.027721172678553025,0.1795168170327111,-0.4000162647585453,0.3445739194014393,0.8786856556939245,0.9996683886512429,0.9961651794429218,True,
JAM2,JAM2 (58494),25,-0.01770128742984621,0.03217600695713681,-0.08426242909462327,0.04885985423493085,0.5875272913981833,25,0.005148459175834928,0.03336529289132192,-0.06404692315420688,0.07434384150587672,0.8787754141707039,0.9996683886512429,0.9961651794429218,False,
IGF2BP2,IGF2BP2 (10644),25,0.024428847087049427,0.03793199103262014,-0.05403945484092704,0.10289714901502589,0.5259352370723497,25,0.006298600633583077,0.040841668614095564,-0.0784018359534504,0.09099903722061656,0.8788423142271045,0.9996683886512429,0.9961651794429218,False,
MYO1G,MYO1G (64005),25,-0.026649662359950275,0.02931181067853255,-0.08728576259525875,0.03398643787535819,0.372685289398613,25,0.00426355141906662,0.02765501275209626,-0.0530894347200479,0.06161653755818114,0.8788818592001562,0.9996683886512429,0.9961651794429218,False,
MCM9,MCM9 (254394),25,0.0008234417264950842,0.04095944273507247,-0.08390762120593546,0.08555450465892563,0.9841339339114452,25,0.006978819014255914,0.045278150262173376,-0.08692231737897656,0.10087995540748838,0.8789107263989251,0.9996683886512429,0.9961651794429218,False,
TRMT10B,TRMT10B (158234),25,0.009472888577132976,0.03292129444266584,-0.05862999771653378,0.07757577487079974,0.7761199125470006,25,0.0056114342931669545,0.03643247364560466,-0.06994489159757533,0.08116776018390925,0.8789958750119264,0.9996683886512429,0.9961651794429218,False,
IL2RA,IL2RA (3559),25,0.03530363308658879,0.03948482715969261,-0.04637695511338977,0.11698422128656735,0.38052617202817074,25,-0.005766681108466617,0.037445800787602776,-0.08342451886797496,0.07189115665104172,0.8790131191550103,0.9996683886512429,0.9961651794429218,True,
ACSM5,ACSM5 (54988),25,-0.026547994036072237,0.046436897541985905,-0.12261003554055062,0.06951404746840616,0.5730703220785369,25,-0.0077573685012868685,0.05042215185534347,-0.11232651125985015,0.0968117742572764,0.8791318019233938,0.9996683886512429,0.9961651794429218,True,
CYP4F3,CYP4F3 (4051),25,-0.04840529707219406,0.06132523021744677,-0.17526620127221504,0.0784556071278269,0.4379861136027865,25,-0.009934435272699367,0.06458175662815754,-0.14386880102176688,0.12399993047636816,0.8791482836700946,0.9996683886512429,0.9961651794429218,True,
NCOR2,NCOR2 (9612),25,0.022282984378361126,0.07182381773992409,-0.12629590279868294,0.1708618715554052,0.7591684294414587,25,0.012217580214248416,0.07942595095747973,-0.15250176036913388,0.17693692079763074,0.8791511966742044,0.9996683886512429,0.9961651794429218,False,
