sample,CD8_T_cells,CD4_naive_T,CD4_memory_resting,CD4_memory_activated,T_follicular_helper,T_regulatory,T_gamma_delta,NK_resting,NK_activated,B_naive,B_memory,Plasma_cells,Monocytes,M0_macrophages,M1_macrophages,M2_macrophages,DC_resting,DC_activated,Mast_resting,Mast_activated,Eosinophils,Neutrophils,exhaustion_composite,GIPS_group,GIPS_scaled
TCGA-GM-A2DK-01,0.0762016560232043,0.048021968564654835,0.04237333911911085,0.047146352348102244,0.0897861987609458,0.04601272042185133,0.012823960489577577,0.034869514415360105,0.09218467693259152,0.03579394662649594,0.07412728411498966,0.055882425341820335,0.03188280354698379,0.02393855952763334,0.02595425809055368,0.03311270379640425,0.05827892590218567,0.04807187619472182,0.06078591745851691,0.035377135690029815,0.027373776634266274,0.0,-0.7162461245872693,Low,0.34375
TCGA-A8-A076-01,0.07649134028577004,0.04579118481393458,0.04492325707590458,0.05041945668554096,0.08398062316445679,0.02650412201297638,0.0384318086610851,0.047504613590206496,0.08970578388967,0.038790210966634736,0.0769166266366546,0.04903453769462147,0.038716166231896845,0.035510253015221614,0.028526998103285343,0.03797058520179794,0.062021325697577234,0.024700760736901667,0.06387089508460564,0.022183704357617358,0.018005746093640716,0.0,-0.20102709835476126,High,0.53125
TCGA-OL-A5D8-01,0.07818479907135434,0.04379464569653314,0.030658183733543957,0.0407693758025645,0.07905899356660273,0.016277944967559153,0.04931405341649916,0.035054971086491304,0.09334971605998224,0.03749752550202746,0.0774364403036578,0.06858483351444648,0.07618374984640701,0.034883505178738054,0.02694166507146845,0.02771270290025542,0.04576264020359937,0.031089390489114962,0.050364188115393754,0.023892702674864364,0.0331879727988963,0.0,0.16710025668583614,Low,0.15625
TCGA-A7-A4SF-01,0.08056190565888752,0.046689236315916864,0.04293675649429542,0.03626724984589591,0.08903411628313221,0.030415718686829102,0.05727695692207627,0.034664435539962415,0.08654907441916138,0.04225992705277255,0.07976787935189679,0.05576013853013548,0.0353509054278697,0.029506029224204557,0.025005390605610366,0.03627892349191993,0.05188644278196822,0.04109624604468948,0.05598828586629405,0.03969041237316919,0.00301396908331263,0.0,-0.056281715293861945,High,0.5625
TCGA-AR-A1AW-01,0.0704873403614537,0.045345440568527705,0.0626032692670788,0.05502859803891272,0.07741288995923257,0.04679059252382807,0.0501334316846981,0.04219633397811051,0.0878520205820907,0.031328465497932646,0.07035203245410863,0.031635853697496934,0.03347508014063308,0.039536153227901764,0.025752618152445353,0.03786629476790686,0.06193770750827329,0.043977028783139055,0.05670293976593121,0.023027246252495467,0.006558662787802678,0.0,-0.11495300060594425,Low,0.34375
TCGA-E2-A14P-01,0.07925321385992114,0.04920056664316571,0.04991090757205929,0.04817865139678624,0.08616022467146442,0.03125998509364296,0.046702127143175204,0.029032000670384053,0.08858683792088794,0.024169196303170756,0.0793856734021621,0.025753010548970747,0.05442689490287766,0.03504872623016866,0.031015511673943084,0.030720084684394047,0.06220584896012955,0.04475806237087471,0.06638111408291507,0.028406860366411494,0.009444501502495366,0.0,-0.7060072928473522,High,0.5000000000000001
TCGA-D8-A27G-01,0.07627668575963176,0.05103380060004143,0.04861282072034723,0.057397737990778894,0.08394034007143492,0.02466008386114608,0.04281443931772262,0.04240291958153697,0.08455365124610927,0.02850866527484861,0.08137721961981385,0.050629799152294215,0.03741585534344646,0.032090265347400226,0.027504696328851164,0.034091809469014425,0.058321404979084876,0.03949936943710145,0.059947839241949165,0.019340899840733373,0.019579696816713125,0.0,-0.2976649161819382,Low,0.1875
TCGA-D8-A27W-01,0.07584142930350887,0.04489431895307266,0.05036016678749299,0.054398399378013766,0.08137535178487235,0.023538398022249635,0.04235388647863976,0.03727772071066895,0.08910984492526157,0.0347744485557509,0.07862489370229238,0.04940358977423304,0.03718920887930695,0.040568086428170905,0.02568336026673669,0.026518064046730003,0.059747386652879965,0.0319162190664275,0.055411208932226994,0.040429676959820963,0.020584340391643034,0.0,-0.023088993841875516,High,0.6249999999999999
TCGA-E2-A1IH-01,0.06795714971850365,0.05679003916855509,0.0521158730323267,0.05599195627480943,0.08314524725754215,0.029536666590296495,0.023085459979499026,0.04829212111593882,0.07284761243718091,0.025259487248151517,0.07900575890427167,0.07043830969816668,0.034874541837363285,0.027266304173879364,0.0270600355388286,0.028392841340641958,0.05781469264360627,0.04951039684226614,0.07600790450328392,0.022127192528286165,0.012480409166602037,0.0,-0.10987036954841387,Moderate,0.5
TCGA-A2-A4S1-01,0.08604898246009773,0.04802551837061476,0.035133377909011124,0.05040332387481665,0.10649581947665775,0.05558559626090029,0.02680201919881509,0.038235845944850945,0.10024516375300983,0.04991422015252506,0.09728982535447993,0.01458086524763188,0.034615812848511014,0.04022304663631472,0.02817517030181797,0.035211617134400304,0.0717156433379207,0.011086984602075281,0.0686246419760648,0.0,0.0015865251594842653,0.0,-1.0892618319985525,High,0.5625
