row_index,fitted,residual,cooks_distance,leverage,influential,outcome,PD_ID,RBA,F_expression_column
57,66.25302798923491,-45.25302798923491,0.0358434266440297,0.0202672217339916,True,scarHRD_score,PD31122a,S002370.l.r.m.c.lib.g.k2.a.t,F809
58,50.90400374365806,-5.904003743658059,0.00013475593690920071,0.004620581995270583,False,scarHRD_score,PD31123a,S002385.l.r.m.c.lib.g.k2.a.t,F1624
59,63.9433214257188,-4.9433214257188,0.00032266790836411695,0.015440684671986619,False,scarHRD_score,PD31124a,S002402.l.r.m3.c.lib.g.k2.a.t,F813
60,59.612703087816996,22.387296912183004,0.003700458056892598,0.008751489429217434,False,scarHRD_score,PD31125a,S002441.l.r.m.c.lib.g2.k2.a.t,F2921
61,40.54533561215712,-24.545335612157118,0.008209770496961484,0.015919130929259312,False,scarHRD_score,PD31126a,S002452.l.r.m.c.lib.g.k2.a.t,F815
62,62.363377095923035,29.636622904076965,0.009443075140620903,0.01264353952877783,False,scarHRD_score,PD31127a,S002493.l.r.m.c.lib.g.k2.a.t,F1644
63,55.45394363257914,17.54605636742086,0.001347678445952023,0.005225659407491836,False,scarHRD_score,PD31128a,S002518.l.r.m.c.lib.g.k2.a.t,F1641
64,60.13904196381017,12.860958036189828,0.0013134676250688676,0.009400132400992689,False,scarHRD_score,PD31129a,S002564.l.r.m.c.lib.g.k2.a.t,F2932
65,58.06920748630215,32.93079251369785,0.0064849120979077815,0.007111567553472042,False,scarHRD_score,PD31130a,S002573.l.r.m.c.lib.g.k2.a.t,F1645
66,45.462840102788206,-38.462840102788206,0.010424942401004007,0.008359194934501261,False,scarHRD_score,PD31133a,S002602.l.r.m.c.lib.g.k2.a.t,F2935
67,58.47123711228615,-6.471237112286147,0.0002643453090526985,0.007501045622862702,False,scarHRD_score,PD31134a,S002603.l.r.m.c.lib.g.k2.a.t,F2937
68,52.00810753237002,19.99189246762998,0.001489298161661689,0.004455128422257697,False,scarHRD_score,PD31135a,S002607.l.r.m.c.lib.g.k2.a.t,F1653
69,54.46825756615249,19.531742433847512,0.0015346322375560289,0.004806205847675387,False,scarHRD_score,PD31136a,S002645.l.r.m.c.lib.g.k2.a.t,F2939
70,45.55172740138523,-6.551727401385229,0.0002988007111131904,0.008259070464860917,False,scarHRD_score,PD31137a,S002652.l.r.m.c.lib.g.k2.a.t,F243
71,49.90746400559007,3.0925359944099284,3.9568358716782635e-05,0.0049417438917534395,False,scarHRD_score,PD31139a,S002687.l.r.m.c.lib.g.k2.a.t,F2948
72,49.61148285829571,22.38851714170429,0.0021275604036500935,0.00506853303836639,False,scarHRD_score,PD31140a,S002706.l.r.m.c.lib.g.k2.a.t,F2952
