F_expression_column,candidate_mean_z,candidate_median_z,HORMAD1_z,HORMAD2_z,STAG3_z,REC8_z,SMC1B_z,SYCP2_z,SYCP3_z,MSH4_z,MSH5_z,proliferation_mean_z,previous_proliferation_mean_z,BRCA1_comparison_z,BRCA2_comparison_z,PALB2_comparison_z,RAD51_comparison_z,RAD51B_comparison_z,RAD51C_comparison_z,RAD51D_comparison_z,BRIP1_comparison_z,ATM_comparison_z,CHEK2_comparison_z,STAG2_comparison_z,RAD21_comparison_z,SMC1A_comparison_z,PD_ID,RBA
F701,0.3543513688439673,0.1677350936189446,0.7601817359007378,0.59328028142972,1.9568175534563768,1.2894822067885179,-1.258715733863567,-0.030680262330778498,0.07775622263849387,-0.36669477804273987,0.1677350936189446,-0.048131209648889686,0.25024645176529176,0.5375974639984785,-0.35823993963586925,0.10481444683510635,-0.538206149507373,1.2382145773275042,0.4168269154653815,0.14503549972427215,0.5991262634152971,1.1045481893532088,0.09969804335380218,-0.6738896973329959,0.6819978117489196,-0.9934809428584729,PD31078a,S001056.l.r.m.c.lib.g.k2.a.t
F2788,-0.3422673113588215,-0.2842162350039214,-0.1864883412110509,-0.40814267607370014,-0.9928752403477386,-0.8064686430106501,-0.2842162350039214,0.5584729818421168,-1.2754952147946232,0.5015502413860998,-0.18674267501592545,-0.42375606621079087,-0.5298774161259769,0.3546200477804309,-0.32369628263630756,-0.2174905350441046,-1.0502986336566678,0.604002620835911,-0.5915500562314726,-0.7436420327053348,-0.770781944402951,-1.5518084474693292,-0.7386363291967228,-2.1513622043801344,-0.10961171539524436,0.09962854137889048,PD31080a,S001067.l.r.m.c.lib.g.k2.a.t
F1510,-0.17308094613022953,-0.29819747520639905,-1.4170278533258562,-0.40814267607370014,-0.4922099683162348,-0.5554934658976136,0.17303109031756028,0.8828082265866364,-0.2367269260752249,0.7942305328187661,-0.29819747520639905,0.49080182221845164,0.420086065481426,0.39033012930446553,-0.15290177350258363,0.6277761504447724,-0.12498079614519697,2.077256686254,-0.6484250404830121,0.3603608524837299,0.5922943081381168,-0.6535140870858251,-0.17297494556879298,-0.10127087425508001,0.5907924213407558,-0.5838774423404536,PD31081a,S001083.l.r.m.c.lib.g2.k2.a.t
F2782,0.0910027785447076,0.16920916315653284,1.0608696955113244,-0.40814267607370014,-1.2082566829495278,0.16920916315653284,1.1089847471009333,0.7287482450646274,-0.6659706526904812,-0.7865566889207083,0.8201398567033679,0.7874088067130631,0.40548238566372813,0.399163738405308,-1.8446586366738575,1.2350879547386167,0.4670493851854649,1.6903675308883324,0.49224664395157386,1.822873040288182,0.895812013800714,-1.6373912436080855,1.2182369065436607,-0.5049356378697607,0.873354534344432,-0.8091671093045276,PD31082a,S001090.l.r.m.c.lib.g.k2.a.t
F713,0.6694081876634823,0.5808136941195232,-0.12372824221715756,-0.40814267607370014,0.7394118462894168,-0.4156216091108935,0.5808136941195232,2.009547589992011,-0.7334486369459784,2.123339047773874,2.2525026751442456,0.24206223653561407,0.4258239003252681,0.20990188580718755,0.2679154420889974,-0.3792288010400652,0.9970222195029387,1.0325069968725518,-1.1913383699831315,0.48542611560122295,-0.05520287118075661,0.35543773912163235,0.6719252629762893,-0.0743128812596744,1.8205896931042194,-0.9628582885839934,PD31086a,S001146.l.r.m.c.lib.g2.k2.a.t
F1518,0.3758551602845229,0.7360777060708703,1.0619986813269993,-0.40814267607370014,1.366747586084275,1.0125574511815962,0.7360777060708703,-0.41952523899605926,-0.2307258570879626,-0.7865566889207083,1.0502654789753958,0.7212494982189238,0.6867059592579641,-0.4782937063680832,0.6770974137817174,0.013972761337991997,3.1844045229754876,0.9242653771673021,0.7187595236622463,0.06959517611410723,-0.2681543421987593,-0.053640680597545336,1.8563019469693787,0.014369655929214818,1.5846087859236018,1.3239296735501795,PD31087a,S001151.l.r.m.c.lib.g.k2.a.t
F1524,0.32600064439557047,-0.3835643049623257,-1.2091439429642823,-0.40814267607370014,-0.3835643049623257,-0.28222561529341567,-0.9774108863325758,0.4038281404343527,1.2133632232080036,5.204006915692023,-0.6267050541479465,-1.8590539311485061,-1.8105435583225036,-0.32320508698851125,-1.4672434369000702,-0.6362351843875644,-1.6343819093795793,-0.9530510271846959,-1.7894367360570802,-1.1800446313337607,-1.579556973240475,-0.1967404960559574,-1.1121795447434852,-0.10658950723949814,-1.1532107786063495,-0.5145158628767511,PD31088a,S001152.l.r.m.c.lib.g.k2.a.t
F166,0.18263564197703286,-0.24308828230362342,-1.4170278533258562,1.9719985906630433,-0.7374565227138178,0.6477040794675174,-0.47458559428936054,-0.24308828230362342,-1.2754952147946232,1.5381244722207175,1.633547102869299,1.1538606948124264,1.1114291042651148,2.1809859225188464,0.5401905132322994,0.5493337296554948,1.2129006431498375,-0.628522441349733,0.9562199139161164,1.6976954371449895,2.233147406724008,0.05190888841168986,1.3001671661269913,0.8124855850284652,0.3391053697797033,2.082086667797844,PD31089a,S001164.l.r.m.c.lib.g.k2.a.t
F1519,0.5517228755497645,0.3666656152592329,0.3666656152592329,-0.40814267607370014,1.9578393815738349,1.690188179900314,0.032269123522010466,1.0431074179334392,0.05383708669395433,-0.4422238761642158,0.6719656273030115,-0.4710233199233413,-0.5759899096097304,-0.23904601506005715,-0.4878803803756464,-0.4331035679490413,0.06387379262517638,-0.5124839843442817,-1.9841780754871432,-2.078070315993852,0.09365249033897183,-0.10482350748402551,-0.830693622340013,0.24835368600263114,0.9833655760083556,0.14401826611961674,PD31090a,S001171.l.r.m.c.lib.g2.k2.a.t
F154,0.2935973179496551,0.3913396063928343,1.0946421197777296,-0.40814267607370014,0.8946412993424129,0.10662096440512162,-0.12695747475560648,0.9134237457029519,0.5633649656758604,-0.7865566889207083,0.3913396063928343,0.7612492140460212,0.6206939167097844,2.0401495819960673,0.25256458321940206,0.7215978949770443,-0.6176541490204819,2.59772554465538,0.08392628290523878,1.1752260009554387,1.0268508363179552,-0.06057682864800117,-0.36159240702338263,0.36921270266001965,1.5816034999000523,1.5536596858056786,PD31092a,S001187.l.r.m.c.lib.g.k2.a.t
