gene,mean,variance,fraction_FPKM_ge_0_1
AC003984.1,-3.317668499550645,0.0010380209221851123,0.0
AC004603.4,-3.276736274926425,0.026490002109172406,0.013333333333333334
AC004862.6,-3.312314988173699,0.010306403769433863,0.008888888888888889
AC004893.11,-0.7839776926516145,0.36497762409371587,0.9955555555555555
AC005062.2,-2.391052881488442,1.1845445008395474,0.3688888888888889
AC005235.1,-3.2400409358899367,0.018718854472033645,0.0
AC005358.3,-3.3059954619412966,0.011768672329450567,0.0
AC005550.4,-2.5112756542563677,0.867955076753088,0.32
AC005594.3,-2.339715981998276,0.19480595585752042,0.47555555555555556
AC006145.4,-3.185234213974827,0.057592094793467906,0.0
AC006196.1,-3.3161983002501882,0.0018332289521403873,0.0
AC006372.4,-3.2187397397153226,0.037204097130960644,0.008888888888888889
AC007038.7,-2.1590905497317134,0.3897929353574591,0.6266666666666667
AC007040.7,-1.9240828570842838,1.1508149952282642,0.6133333333333333
AC007099.1,-2.64337101806995,0.31077316829938234,0.2577777777777778
AC007131.1,-3.200531072357022,0.16849158914981996,0.03111111111111111
AC007163.3,-3.203774050699604,0.0847742560664625,0.02666666666666667
AC007163.6,-2.9907717560142166,0.23505517472044504,0.10222222222222223
AC007246.3,-0.24458626820322854,0.35949207801441846,1.0
AC007359.6,-3.3133703071508616,0.0012924328560793446,0.0
